"Is it a Business Address","Is it a Business Address"
"Tax Code","Tax Code"
"VAT Number","VAT Number"
"Company","Company"
"Please, enter a valid Tax Code.","Please, enter a valid Tax Code."
"Please, enter a valid VAT Number.","Please, enter a valid VAT Number."
"Enable Webgriffe TaxIdPro","Enable Webgriffe TaxIdPro"
"TaxIdPro allows your customers to specify if the address is a business one or not. TaxIdPro will ask for VAT Number in case of business address, otherwise will ask for Tax Code.","TaxIdPro allows your customers to specify if the address is a business one or not. TaxIdPro will ask for VAT Number in case of business address, otherwise will ask for Tax Code."
"Require Tax Code for addresses of this countries only","Require Tax Code for addresses of this countries only"
"Specify for witch countries the Tax Code field will be mandatory.","Specify for witch countries the Tax Code field will be mandatory."
"Require VAT Number for addresses of this countries only","Require VAT Number for addresses of this countries only"
"Specify for witch countries the VAT Number field will be mandatory.","Specify for witch countries the VAT Number field will be mandatory."
"Tax Code accepted formats","Tax Code accepted formats"
"Valid formats for the Tax Code value. See documentation for further information.","Valid formats for the Tax Code value. See documentation for further information."
"VAT Number accepted formats","VAT Number accepted formats"
"Valid formats for the VAT Number value. See documentation for further information.","Valid formats for the VAT Number value. See documentation for further information."